2024-03-17T14:56:45+00:00: Starting --insert_events
Running --insert_events...
2024-03-17T14:56:48+00:00: Inserting events from CSV file: 2019-Nov.csv
2024-03-17T17:46:02+00:00: Inserted chunk of size 63960 into database.
2024-03-17T17:47:10+00:00: Inserted chunk of size 63381 into database.
2024-03-17T17:48:17+00:00: Inserted chunk of size 62610 into database.
2024-03-17T17:49:23+00:00: Inserted chunk of size 62590 into database.
2024-03-17T17:50:33+00:00: Inserted chunk of size 62777 into database.
2024-03-17T17:51:40+00:00: Inserted chunk of size 60957 into database.
2024-03-17T17:52:45+00:00: Inserted chunk of size 61961 into database.
2024-03-17T17:53:54+00:00: Inserted chunk of size 62715 into database.
2024-03-17T17:54:56+00:00: Inserted chunk of size 62302 into database.
2024-03-17T17:56:07+00:00: Inserted chunk of size 61859 into database.
2024-03-17T17:57:14+00:00: Inserted chunk of size 62251 into database.
2024-03-17T17:58:21+00:00: Inserted chunk of size 62999 into database.
2024-03-17T17:59:27+00:00: Inserted chunk of size 62498 into database.
2024-03-17T18:00:38+00:00: Inserted chunk of size 64093 into database.
2024-03-17T18:01:49+00:00: Inserted chunk of size 63918 into database.
2024-03-17T18:02:58+00:00: Inserted chunk of size 64035 into database.
2024-03-17T18:04:03+00:00: Inserted chunk of size 62473 into database.
2024-03-17T18:05:14+00:00: Inserted chunk of size 63631 into database.
2024-03-17T18:06:25+00:00: Inserted chunk of size 62864 into database.
2024-03-17T18:07:36+00:00: Inserted chunk of size 64924 into database.
2024-03-17T18:08:46+00:00: Inserted chunk of size 64390 into database.
2024-03-17T18:09:56+00:00: Inserted chunk of size 64354 into database.
2024-03-17T18:11:08+00:00: Inserted chunk of size 64800 into database.
2024-03-17T18:12:18+00:00: Inserted chunk of size 63402 into database.
2024-03-17T18:13:29+00:00: Inserted chunk of size 63227 into database.
2024-03-17T18:14:40+00:00: Inserted chunk of size 62417 into database.
2024-03-17T18:15:50+00:00: Inserted chunk of size 62089 into database.
2024-03-17T18:16:59+00:00: Inserted chunk of size 61606 into database.
2024-03-17T18:18:01+00:00: Inserted chunk of size 62354 into database.
2024-03-17T18:19:11+00:00: Inserted chunk of size 62184 into database.
2024-03-17T18:20:21+00:00: Inserted chunk of size 63953 into database.
2024-03-17T18:21:33+00:00: Inserted chunk of size 64166 into database.
2024-03-17T18:22:46+00:00: Inserted chunk of size 64953 into database.
2024-03-17T18:23:57+00:00: Inserted chunk of size 64621 into database.
2024-03-17T18:25:06+00:00: Inserted chunk of size 65402 into database.
2024-03-17T18:26:20+00:00: Inserted chunk of size 64893 into database.
2024-03-17T18:27:33+00:00: Inserted chunk of size 64473 into database.
2024-03-17T18:28:46+00:00: Inserted chunk of size 64429 into database.
2024-03-17T18:30:02+00:00: Inserted chunk of size 64727 into database.
2024-03-17T18:31:15+00:00: Inserted chunk of size 65592 into database.
2024-03-17T18:32:30+00:00: Inserted chunk of size 66275 into database.
2024-03-17T18:33:53+00:00: Inserted chunk of size 66804 into database.
2024-03-17T18:35:08+00:00: Inserted chunk of size 65735 into database.
2024-03-17T18:36:26+00:00: Inserted chunk of size 64769 into database.
2024-03-17T18:37:43+00:00: Inserted chunk of size 64470 into database.
2024-03-17T18:38:58+00:00: Inserted chunk of size 65843 into database.
2024-03-17T18:40:18+00:00: Inserted chunk of size 66350 into database.
2024-03-17T18:41:36+00:00: Inserted chunk of size 66509 into database.
2024-03-17T18:42:56+00:00: Inserted chunk of size 67931 into database.
2024-03-17T18:44:15+00:00: Inserted chunk of size 65706 into database.
2024-03-17T18:45:37+00:00: Inserted chunk of size 67914 into database.
2024-03-17T18:46:57+00:00: Inserted chunk of size 74254 into database.
2024-03-17T18:48:21+00:00: Inserted chunk of size 69676 into database.
2024-03-17T18:49:43+00:00: Inserted chunk of size 68495 into database.
2024-03-17T18:51:03+00:00: Inserted chunk of size 65133 into database.
2024-03-17T18:52:18+00:00: Inserted chunk of size 65901 into database.
2024-03-17T18:53:37+00:00: Inserted chunk of size 65267 into database.
2024-03-17T18:54:50+00:00: Inserted chunk of size 64855 into database.
2024-03-17T18:56:03+00:00: Inserted chunk of size 64886 into database.
2024-03-17T18:57:16+00:00: Inserted chunk of size 66766 into database.
2024-03-17T18:58:35+00:00: Inserted chunk of size 67600 into database.
2024-03-17T18:59:49+00:00: Inserted chunk of size 67745 into database.
2024-03-17T19:01:14+00:00: Inserted chunk of size 66247 into database.
2024-03-17T19:02:34+00:00: Inserted chunk of size 67914 into database.
2024-03-17T19:03:56+00:00: Inserted chunk of size 66917 into database.
2024-03-17T19:05:17+00:00: Inserted chunk of size 66927 into database.
2024-03-17T19:06:37+00:00: Inserted chunk of size 65805 into database.
2024-03-17T19:07:56+00:00: Inserted chunk of size 66631 into database.
2024-03-17T19:09:20+00:00: Inserted chunk of size 67250 into database.
2024-03-17T19:10:45+00:00: Inserted chunk of size 66301 into database.
2024-03-17T19:12:10+00:00: Inserted chunk of size 66292 into database.
2024-03-17T19:13:29+00:00: Inserted chunk of size 65739 into database.
2024-03-17T19:14:51+00:00: Inserted chunk of size 65945 into database.
2024-03-17T19:16:14+00:00: Inserted chunk of size 65489 into database.
2024-03-17T19:17:38+00:00: Inserted chunk of size 65689 into database.
2024-03-17T19:19:00+00:00: Inserted chunk of size 65830 into database.
2024-03-17T19:20:25+00:00: Inserted chunk of size 65979 into database.
2024-03-17T19:21:48+00:00: Inserted chunk of size 66208 into database.
2024-03-17T19:23:07+00:00: Inserted chunk of size 65817 into database.
2024-03-17T19:24:29+00:00: Inserted chunk of size 64856 into database.
2024-03-17T19:25:54+00:00: Inserted chunk of size 65110 into database.
2024-03-17T19:27:13+00:00: Inserted chunk of size 65228 into database.
2024-03-17T19:28:34+00:00: Inserted chunk of size 64898 into database.
2024-03-17T19:29:58+00:00: Inserted chunk of size 64210 into database.
2024-03-17T19:31:25+00:00: Inserted chunk of size 65156 into database.
2024-03-17T19:32:46+00:00: Inserted chunk of size 64225 into database.
2024-03-17T19:34:09+00:00: Inserted chunk of size 64150 into database.
2024-03-17T19:35:30+00:00: Inserted chunk of size 64084 into database.
2024-03-17T19:36:57+00:00: Inserted chunk of size 64858 into database.
2024-03-17T19:38:17+00:00: Inserted chunk of size 65107 into database.
2024-03-17T19:39:40+00:00: Inserted chunk of size 65601 into database.
2024-03-17T19:41:04+00:00: Inserted chunk of size 64312 into database.
2024-03-17T19:42:27+00:00: Inserted chunk of size 64894 into database.
2024-03-17T19:43:51+00:00: Inserted chunk of size 65502 into database.
2024-03-17T19:45:10+00:00: Inserted chunk of size 65417 into database.
2024-03-17T19:46:34+00:00: Inserted chunk of size 65322 into database.
2024-03-17T19:47:55+00:00: Inserted chunk of size 64821 into database.
2024-03-17T19:49:19+00:00: Inserted chunk of size 64636 into database.
2024-03-17T19:50:49+00:00: Inserted chunk of size 64187 into database.
2024-03-17T19:52:11+00:00: Inserted chunk of size 63992 into database.
2024-03-17T19:53:33+00:00: Inserted chunk of size 63293 into database.
2024-03-17T19:54:58+00:00: Inserted chunk of size 62954 into database.
2024-03-17T19:56:19+00:00: Inserted chunk of size 62934 into database.
2024-03-17T19:57:44+00:00: Inserted chunk of size 62159 into database.
2024-03-17T19:59:05+00:00: Inserted chunk of size 61961 into database.
2024-03-17T20:00:24+00:00: Inserted chunk of size 61358 into database.
2024-03-17T20:01:49+00:00: Inserted chunk of size 61505 into database.
2024-03-17T20:03:08+00:00: Inserted chunk of size 61898 into database.
2024-03-17T20:04:27+00:00: Inserted chunk of size 61218 into database.
2024-03-17T20:05:45+00:00: Inserted chunk of size 61183 into database.
2024-03-17T20:07:05+00:00: Inserted chunk of size 61108 into database.
2024-03-17T20:08:25+00:00: Inserted chunk of size 60476 into database.
2024-03-17T20:09:46+00:00: Inserted chunk of size 61094 into database.
2024-03-17T20:11:09+00:00: Inserted chunk of size 60184 into database.
2024-03-17T20:12:31+00:00: Inserted chunk of size 60632 into database.
2024-03-17T20:13:52+00:00: Inserted chunk of size 61345 into database.
2024-03-17T20:15:12+00:00: Inserted chunk of size 61687 into database.
2024-03-17T20:16:34+00:00: Inserted chunk of size 63148 into database.
2024-03-17T20:17:52+00:00: Inserted chunk of size 61270 into database.
2024-03-17T20:19:13+00:00: Inserted chunk of size 61245 into database.
2024-03-17T20:20:28+00:00: Inserted chunk of size 61823 into database.
2024-03-17T20:21:41+00:00: Inserted chunk of size 61612 into database.
2024-03-17T20:22:54+00:00: Inserted chunk of size 62230 into database.
2024-03-17T20:24:16+00:00: Inserted chunk of size 62210 into database.
2024-03-17T20:25:39+00:00: Inserted chunk of size 61834 into database.
2024-03-17T20:27:01+00:00: Inserted chunk of size 62439 into database.
2024-03-17T20:28:22+00:00: Inserted chunk of size 62268 into database.
2024-03-17T20:29:45+00:00: Inserted chunk of size 64405 into database.
2024-03-17T20:31:12+00:00: Inserted chunk of size 64600 into database.
2024-03-17T20:32:33+00:00: Inserted chunk of size 64437 into database.
2024-03-17T20:34:00+00:00: Inserted chunk of size 64723 into database.
2024-03-17T20:35:29+00:00: Inserted chunk of size 65348 into database.
2024-03-17T20:36:55+00:00: Inserted chunk of size 65013 into database.
2024-03-17T20:38:26+00:00: Inserted chunk of size 64902 into database.
2024-03-17T20:39:53+00:00: Inserted chunk of size 65352 into database.
2024-03-17T20:41:20+00:00: Inserted chunk of size 65227 into database.
2024-03-17T20:42:49+00:00: Inserted chunk of size 64443 into database.
2024-03-17T20:44:19+00:00: Inserted chunk of size 65154 into database.
2024-03-17T20:45:49+00:00: Inserted chunk of size 65513 into database.
2024-03-17T20:47:19+00:00: Inserted chunk of size 65608 into database.
2024-03-17T20:48:48+00:00: Inserted chunk of size 65360 into database.
2024-03-17T20:50:21+00:00: Inserted chunk of size 64340 into database.
2024-03-17T20:51:51+00:00: Inserted chunk of size 64351 into database.
2024-03-17T20:53:18+00:00: Inserted chunk of size 64287 into database.
2024-03-17T20:54:56+00:00: Inserted chunk of size 65133 into database.
2024-03-17T20:56:24+00:00: Inserted chunk of size 64985 into database.
2024-03-17T20:57:57+00:00: Inserted chunk of size 64696 into database.
2024-03-17T20:59:26+00:00: Inserted chunk of size 64282 into database.
2024-03-17T21:00:59+00:00: Inserted chunk of size 64989 into database.
2024-03-17T21:02:25+00:00: Inserted chunk of size 64347 into database.
2024-03-17T21:03:53+00:00: Inserted chunk of size 65168 into database.
2024-03-17T21:05:20+00:00: Inserted chunk of size 64407 into database.
2024-03-17T21:06:49+00:00: Inserted chunk of size 64233 into database.
2024-03-17T21:08:13+00:00: Inserted chunk of size 64391 into database.
2024-03-17T21:09:39+00:00: Inserted chunk of size 65268 into database.
2024-03-17T21:11:08+00:00: Inserted chunk of size 64906 into database.
2024-03-17T21:12:40+00:00: Inserted chunk of size 65174 into database.
2024-03-17T21:14:11+00:00: Inserted chunk of size 64585 into database.
