2024-03-17T14:50:11+00:00: Starting --insert_products
Running --insert_products...
2024-03-17T14:50:13+00:00: Inserting products from CSV file: 2019-Nov.csv
2024-03-17T14:51:36+00:00: Inserted chunk of size 71 into database.
2024-03-17T14:51:37+00:00: Inserted chunk of size 86 into database.
2024-03-17T14:51:37+00:00: Inserted chunk of size 58 into database.
2024-03-17T14:51:38+00:00: Inserted chunk of size 62 into database.
2024-03-17T14:51:39+00:00: Inserted chunk of size 71 into database.
2024-03-17T14:51:39+00:00: Inserted chunk of size 67 into database.
2024-03-17T14:51:40+00:00: Inserted chunk of size 83 into database.
2024-03-17T14:51:40+00:00: Inserted chunk of size 72 into database.
2024-03-17T14:51:41+00:00: Inserted chunk of size 56 into database.
2024-03-17T14:51:41+00:00: Inserted chunk of size 67 into database.
2024-03-17T14:51:42+00:00: Inserted chunk of size 58 into database.
2024-03-17T14:51:43+00:00: Inserted chunk of size 40 into database.
2024-03-17T14:51:43+00:00: Inserted chunk of size 67 into database.
2024-03-17T14:51:44+00:00: Inserted chunk of size 94 into database.
2024-03-17T14:51:44+00:00: Inserted chunk of size 99 into database.
2024-03-17T14:51:45+00:00: Inserted chunk of size 92 into database.
2024-03-17T14:51:45+00:00: Inserted chunk of size 80 into database.
2024-03-17T14:51:46+00:00: Inserted chunk of size 81 into database.
2024-03-17T14:51:47+00:00: Inserted chunk of size 71 into database.
2024-03-17T14:51:47+00:00: Inserted chunk of size 69 into database.
2024-03-17T14:51:48+00:00: Inserted chunk of size 59 into database.
2024-03-17T14:51:48+00:00: Inserted chunk of size 46 into database.
2024-03-17T14:51:49+00:00: Inserted chunk of size 86 into database.
2024-03-17T14:51:49+00:00: Inserted chunk of size 80 into database.
2024-03-17T14:51:50+00:00: Inserted chunk of size 76 into database.
2024-03-17T14:51:51+00:00: Inserted chunk of size 76 into database.
2024-03-17T14:51:51+00:00: Inserted chunk of size 83 into database.
2024-03-17T14:51:52+00:00: Inserted chunk of size 56 into database.
2024-03-17T14:51:52+00:00: Inserted chunk of size 48 into database.
2024-03-17T14:51:53+00:00: Inserted chunk of size 40 into database.
2024-03-17T14:51:53+00:00: Inserted chunk of size 32 into database.
2024-03-17T14:51:54+00:00: Inserted chunk of size 56 into database.
2024-03-17T14:51:55+00:00: Inserted chunk of size 47 into database.
2024-03-17T14:51:55+00:00: Inserted chunk of size 53 into database.
2024-03-17T14:51:56+00:00: Inserted chunk of size 61 into database.
2024-03-17T14:51:56+00:00: Inserted chunk of size 55 into database.
2024-03-17T14:51:57+00:00: Inserted chunk of size 48 into database.
2024-03-17T14:51:57+00:00: Inserted chunk of size 49 into database.
2024-03-17T14:51:58+00:00: Inserted chunk of size 37 into database.
2024-03-17T14:51:59+00:00: Inserted chunk of size 44 into database.
2024-03-17T14:51:59+00:00: Inserted chunk of size 47 into database.
2024-03-17T14:52:00+00:00: Inserted chunk of size 52 into database.
2024-03-17T14:52:00+00:00: Inserted chunk of size 56 into database.
2024-03-17T14:52:01+00:00: Inserted chunk of size 39 into database.
2024-03-17T14:52:01+00:00: Inserted chunk of size 41 into database.
2024-03-17T14:52:02+00:00: Inserted chunk of size 66 into database.
2024-03-17T14:52:03+00:00: Inserted chunk of size 39 into database.
2024-03-17T14:52:03+00:00: Inserted chunk of size 61 into database.
2024-03-17T14:52:04+00:00: Inserted chunk of size 70 into database.
2024-03-17T14:52:04+00:00: Inserted chunk of size 56 into database.
2024-03-17T14:52:05+00:00: Inserted chunk of size 68 into database.
2024-03-17T14:52:05+00:00: Inserted chunk of size 70 into database.
2024-03-17T14:52:06+00:00: Inserted chunk of size 67 into database.
2024-03-17T14:52:07+00:00: Inserted chunk of size 71 into database.
2024-03-17T14:52:07+00:00: Inserted chunk of size 67 into database.
2024-03-17T14:52:08+00:00: Inserted chunk of size 69 into database.
2024-03-17T14:52:08+00:00: Inserted chunk of size 39 into database.
2024-03-17T14:52:09+00:00: Inserted chunk of size 52 into database.
2024-03-17T14:52:09+00:00: Inserted chunk of size 60 into database.
2024-03-17T14:52:10+00:00: Inserted chunk of size 70 into database.
2024-03-17T14:52:11+00:00: Inserted chunk of size 80 into database.
2024-03-17T14:52:11+00:00: Inserted chunk of size 64 into database.
2024-03-17T14:52:12+00:00: Inserted chunk of size 55 into database.
2024-03-17T14:52:12+00:00: Inserted chunk of size 53 into database.
2024-03-17T14:52:13+00:00: Inserted chunk of size 75 into database.
2024-03-17T14:52:13+00:00: Inserted chunk of size 53 into database.
2024-03-17T14:52:14+00:00: Inserted chunk of size 50 into database.
2024-03-17T14:52:15+00:00: Inserted chunk of size 72 into database.
2024-03-17T14:52:15+00:00: Inserted chunk of size 63 into database.
2024-03-17T14:52:16+00:00: Inserted chunk of size 76 into database.
2024-03-17T14:52:16+00:00: Inserted chunk of size 48 into database.
2024-03-17T14:52:17+00:00: Inserted chunk of size 75 into database.
2024-03-17T14:52:17+00:00: Inserted chunk of size 68 into database.
2024-03-17T14:52:18+00:00: Inserted chunk of size 106 into database.
2024-03-17T14:52:19+00:00: Inserted chunk of size 81 into database.
2024-03-17T14:52:19+00:00: Inserted chunk of size 70 into database.
2024-03-17T14:52:20+00:00: Inserted chunk of size 76 into database.
2024-03-17T14:52:20+00:00: Inserted chunk of size 57 into database.
2024-03-17T14:52:21+00:00: Inserted chunk of size 51 into database.
2024-03-17T14:52:21+00:00: Inserted chunk of size 40 into database.
2024-03-17T14:52:22+00:00: Inserted chunk of size 61 into database.
2024-03-17T14:52:23+00:00: Inserted chunk of size 69 into database.
2024-03-17T14:52:23+00:00: Inserted chunk of size 51 into database.
2024-03-17T14:52:23+00:00: Inserted chunk of size 56 into database.
2024-03-17T14:52:24+00:00: Inserted chunk of size 39 into database.
2024-03-17T14:52:24+00:00: Inserted chunk of size 57 into database.
2024-03-17T14:52:25+00:00: Inserted chunk of size 46 into database.
2024-03-17T14:52:25+00:00: Inserted chunk of size 83 into database.
2024-03-17T14:52:25+00:00: Inserted chunk of size 136 into database.
2024-03-17T14:52:26+00:00: Inserted chunk of size 72 into database.
2024-03-17T14:52:27+00:00: Inserted chunk of size 81 into database.
2024-03-17T14:52:27+00:00: Inserted chunk of size 65 into database.
2024-03-17T14:52:28+00:00: Inserted chunk of size 54 into database.
2024-03-17T14:52:28+00:00: Inserted chunk of size 53 into database.
2024-03-17T14:52:29+00:00: Inserted chunk of size 51 into database.
2024-03-17T14:52:30+00:00: Inserted chunk of size 60 into database.
2024-03-17T14:52:31+00:00: Inserted chunk of size 43 into database.
2024-03-17T14:52:31+00:00: Inserted chunk of size 37 into database.
2024-03-17T14:52:32+00:00: Inserted chunk of size 27 into database.
2024-03-17T14:52:33+00:00: Inserted chunk of size 31 into database.
2024-03-17T14:52:33+00:00: Inserted chunk of size 52 into database.
2024-03-17T14:52:34+00:00: Inserted chunk of size 47 into database.
2024-03-17T14:52:34+00:00: Inserted chunk of size 38 into database.
2024-03-17T14:52:35+00:00: Inserted chunk of size 36 into database.
2024-03-17T14:52:35+00:00: Inserted chunk of size 39 into database.
2024-03-17T14:52:36+00:00: Inserted chunk of size 36 into database.
2024-03-17T14:52:36+00:00: Inserted chunk of size 35 into database.
2024-03-17T14:52:37+00:00: Inserted chunk of size 30 into database.
2024-03-17T14:52:37+00:00: Inserted chunk of size 32 into database.
2024-03-17T14:52:38+00:00: Inserted chunk of size 52 into database.
2024-03-17T14:52:38+00:00: Inserted chunk of size 52 into database.
2024-03-17T14:52:39+00:00: Inserted chunk of size 49 into database.
2024-03-17T14:52:40+00:00: Inserted chunk of size 35 into database.
2024-03-17T14:52:40+00:00: Inserted chunk of size 140 into database.
2024-03-17T14:52:41+00:00: Inserted chunk of size 134 into database.
2024-03-17T14:52:41+00:00: Inserted chunk of size 105 into database.
2024-03-17T14:52:42+00:00: Inserted chunk of size 69 into database.
2024-03-17T14:52:42+00:00: Inserted chunk of size 81 into database.
2024-03-17T14:52:43+00:00: Inserted chunk of size 64 into database.
2024-03-17T14:52:44+00:00: Inserted chunk of size 70 into database.
2024-03-17T14:52:44+00:00: Inserted chunk of size 51 into database.
2024-03-17T14:52:45+00:00: Inserted chunk of size 49 into database.
2024-03-17T14:52:45+00:00: Inserted chunk of size 39 into database.
2024-03-17T14:52:46+00:00: Inserted chunk of size 43 into database.
2024-03-17T14:52:47+00:00: Inserted chunk of size 56 into database.
2024-03-17T14:52:47+00:00: Inserted chunk of size 39 into database.
2024-03-17T14:52:48+00:00: Inserted chunk of size 42 into database.
2024-03-17T14:52:48+00:00: Inserted chunk of size 31 into database.
2024-03-17T14:52:49+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:52:49+00:00: Inserted chunk of size 20 into database.
2024-03-17T14:52:50+00:00: Inserted chunk of size 43 into database.
2024-03-17T14:52:50+00:00: Inserted chunk of size 34 into database.
2024-03-17T14:52:51+00:00: Inserted chunk of size 35 into database.
2024-03-17T14:52:51+00:00: Inserted chunk of size 33 into database.
2024-03-17T14:52:52+00:00: Inserted chunk of size 23 into database.
2024-03-17T14:52:52+00:00: Inserted chunk of size 30 into database.
2024-03-17T14:52:53+00:00: Inserted chunk of size 31 into database.
2024-03-17T14:52:54+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:52:54+00:00: Inserted chunk of size 16 into database.
2024-03-17T14:52:55+00:00: Inserted chunk of size 19 into database.
2024-03-17T14:52:55+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:52:56+00:00: Inserted chunk of size 18 into database.
2024-03-17T14:52:56+00:00: Inserted chunk of size 23 into database.
2024-03-17T14:52:57+00:00: Inserted chunk of size 15 into database.
2024-03-17T14:52:58+00:00: Inserted chunk of size 25 into database.
2024-03-17T14:52:58+00:00: Inserted chunk of size 25 into database.
2024-03-17T14:52:59+00:00: Inserted chunk of size 25 into database.
2024-03-17T14:52:59+00:00: Inserted chunk of size 15 into database.
2024-03-17T14:53:00+00:00: Inserted chunk of size 27 into database.
2024-03-17T14:53:00+00:00: Inserted chunk of size 14 into database.
2024-03-17T14:53:01+00:00: Inserted chunk of size 19 into database.
2024-03-17T14:53:01+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:02+00:00: Inserted chunk of size 11 into database.
2024-03-17T14:53:03+00:00: Inserted chunk of size 16 into database.
2024-03-17T14:53:03+00:00: Inserted chunk of size 25 into database.
2024-03-17T14:53:04+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:53:04+00:00: Inserted chunk of size 15 into database.
2024-03-17T14:53:05+00:00: Inserted chunk of size 17 into database.
2024-03-17T14:53:05+00:00: Inserted chunk of size 21 into database.
2024-03-17T14:53:06+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:53:06+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:07+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:53:08+00:00: Inserted chunk of size 23 into database.
2024-03-17T14:53:08+00:00: Inserted chunk of size 22 into database.
2024-03-17T14:53:09+00:00: Inserted chunk of size 16 into database.
2024-03-17T14:53:10+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:53:10+00:00: Inserted chunk of size 21 into database.
2024-03-17T14:53:11+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:53:11+00:00: Inserted chunk of size 25 into database.
2024-03-17T14:53:12+00:00: Inserted chunk of size 14 into database.
2024-03-17T14:53:12+00:00: Inserted chunk of size 13 into database.
2024-03-17T14:53:13+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:13+00:00: Inserted chunk of size 22 into database.
2024-03-17T14:53:14+00:00: Inserted chunk of size 22 into database.
2024-03-17T14:53:15+00:00: Inserted chunk of size 18 into database.
2024-03-17T14:53:15+00:00: Inserted chunk of size 8 into database.
2024-03-17T14:53:16+00:00: Inserted chunk of size 14 into database.
2024-03-17T14:53:16+00:00: Inserted chunk of size 15 into database.
2024-03-17T14:53:17+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:17+00:00: Inserted chunk of size 7 into database.
2024-03-17T14:53:18+00:00: Inserted chunk of size 9 into database.
2024-03-17T14:53:18+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:19+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:53:19+00:00: Inserted chunk of size 18 into database.
2024-03-17T14:53:20+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:53:21+00:00: Inserted chunk of size 10 into database.
2024-03-17T14:53:21+00:00: Inserted chunk of size 17 into database.
2024-03-17T14:53:22+00:00: Inserted chunk of size 14 into database.
2024-03-17T14:53:22+00:00: Inserted chunk of size 21 into database.
2024-03-17T14:53:23+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:53:23+00:00: Inserted chunk of size 12 into database.
2024-03-17T14:53:24+00:00: Inserted chunk of size 16 into database.
2024-03-17T14:53:25+00:00: Inserted chunk of size 18 into database.
